bundle_sku,child_name,child_sku,child_quantity,child_image
29705,Leather Cover Set C01 with Matching Color Pillow / Cappuccino,23290,1,https://cdn.shopify.com/s/files/1/2283/9101/products/C01_leather_cover_cappuccino_500x.jpg?v=1622671000
29705,Pedicure Stool 12 - Cappuccino,1920,1,https://cdn.shopify.com/s/files/1/2283/9101/products/Stool_12_Capp_500x.jpg?v=1579281133
29705,Spa Base & Bowl Phoenix / Chocolate / Chocolate,15675,1,https://cdn.shopify.com/s/files/1/2283/9101/products/phoenix-chocolate-base-bowl_500x.jpg?v=1622826720
29705,Spa Massage Chair G490,18944,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DSC00012_500x.jpg?v=1622740644
29704,Leather Cover Set C01 with Matching Color Pillow / Gray,23291,1,https://cdn.shopify.com/s/files/1/2283/9101/products/C01_leather_cover_gray_500x.jpg?v=1622671000
29704,Pedicure Stool 12 - Gray,22243,1,https://cdn.shopify.com/s/files/1/2283/9101/products/GTPStoolPedicure12-Gray_1_500x.jpg?v=1619042783
29704,Spa Base & Bowl Phoenix / Silver / Silver,15559,1,https://cdn.shopify.com/s/files/1/2283/9101/products/phoenix-silver-base-bowl_500x.jpg?v=1622826847
29704,Spa Massage Chair G490,18944,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DSC00012_500x.jpg?v=1622740644
29426,Leather Cover Set Diamond / Cappuccino,12474,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DIAMOND_BROWN_500x.png?v=1615927941
29426,Pedicure Stool 12 - Cappuccino,1920,1,https://cdn.shopify.com/s/files/1/2283/9101/products/Stool_12_Capp_500x.jpg?v=1579281133
29426,Spa Base & Bowl Phoenix / Chocolate,15675,1,https://cdn.shopify.com/s/files/1/2283/9101/products/phoenix-chocolate-base-bowl_500x.jpg?v=1622826720
29426,Spa Massage Chair G490,18944,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DSC00012_500x.jpg?v=1622740644
29703,Leather Cover Set Diamond / Gray,18949,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DIAMOND_GREY_500x.png?v=1616016274
29703,Pedicure Stool 12 - Gray,22243,1,https://cdn.shopify.com/s/files/1/2283/9101/products/GTPStoolPedicure12-Gray_1_500x.jpg?v=1619042783
29703,Spa Base & Bowl Phoenix / White & Silver,15559,1,https://cdn.shopify.com/s/files/1/2283/9101/products/phoenix-silver-base-bowl_500x.jpg?v=1622826847
29703,Spa Massage Chair G490,18944,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DSC00012_500x.jpg?v=1622740644
23336,Leather Cover Set C01 with Matching Color Pillow / Black,23293,1,https://cdn.shopify.com/s/files/1/2283/9101/products/C01_leather_cover_black_500x.jpg?v=1622670999
23336,Pedicure Stool 12 - Black,3585,1,https://cdn.shopify.com/s/files/1/2283/9101/products/Stool_12_Black_500x.jpg?v=1579279800
23336,Spa Base & Bowl Thunder / White & Unicorn,23407,1,https://cdn.shopify.com/s/files/1/2283/9101/products/thunder-unicorn-bowl-white-base_500x.jpg?v=1623360007
23336,Spa Massage Chair G490,18944,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DSC00012_500x.jpg?v=1622740644
23332,Leather Cover Set C01 with Matching Color Pillow / Burgundy,23289,1,https://cdn.shopify.com/s/files/1/2283/9101/products/C01_leather_cover_burgundy_500x.jpg?v=1622670999
23332,Pedicure Stool 12 - Burgundy,3584,1,https://cdn.shopify.com/s/files/1/2283/9101/products/Stool_12_Burgundy_500x.jpg?v=1579279822
23332,Spa Base & Bowl Thunder / White & Unicorn,23407,1,https://cdn.shopify.com/s/files/1/2283/9101/products/thunder-unicorn-bowl-white-base_500x.jpg?v=1623360007
23332,Spa Massage Chair G490,18944,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DSC00012_500x.jpg?v=1622740644
23333,Leather Cover Set C01 with Matching Color Pillow / Cappuccino,23290,1,https://cdn.shopify.com/s/files/1/2283/9101/products/C01_leather_cover_cappuccino_500x.jpg?v=1622671000
23333,Pedicure Stool 12 - Cappuccino,1920,1,https://cdn.shopify.com/s/files/1/2283/9101/products/Stool_12_Capp_500x.jpg?v=1579281133
23333,Spa Base & Bowl Thunder / White & Unicorn,23407,1,https://cdn.shopify.com/s/files/1/2283/9101/products/thunder-unicorn-bowl-white-base_500x.jpg?v=1623360007
23333,Spa Massage Chair G490,18944,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DSC00012_500x.jpg?v=1622740644
23337,Leather Cover Set C01 with Matching Color Pillow / Chocolate,23301,1,https://cdn.shopify.com/s/files/1/2283/9101/products/C01_leather_cover_chocolate_500x.jpg?v=1622670999
23337,Pedicure Stool 12 - Chocolate,10825,1,https://cdn.shopify.com/s/files/1/2283/9101/products/Stool_12_Chocolate_c3f9d569-012a-4538-8949-eec22ebef874_500x.jpg?v=1579281170
23337,Spa Base & Bowl Thunder / White & Unicorn,23407,1,https://cdn.shopify.com/s/files/1/2283/9101/products/thunder-unicorn-bowl-white-base_500x.jpg?v=1623360007
23337,Spa Massage Chair G490,18944,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DSC00012_500x.jpg?v=1622740644
23335,Leather Cover Set C01 with Matching Color Pillow / Espresso,23292,1,https://cdn.shopify.com/s/files/1/2283/9101/products/C01_leather_cover_espresso_500x.jpg?v=1622671000
23335,Pedicure Stool 12 - Espresso,23377,1,https://cdn.shopify.com/s/files/1/2283/9101/products/Stool_12_Expresso_4ce2a129-4197-43ef-a73c-91ec25122e54_500x.jpg?v=1579281205
23335,Spa Base & Bowl Thunder / White & Unicorn,23407,1,https://cdn.shopify.com/s/files/1/2283/9101/products/thunder-unicorn-bowl-white-base_500x.jpg?v=1623360007
23335,Spa Massage Chair G490,18944,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DSC00012_500x.jpg?v=1622740644
23334,Leather Cover Set C01 with Matching Color Pillow / Gray,23291,1,https://cdn.shopify.com/s/files/1/2283/9101/products/C01_leather_cover_gray_500x.jpg?v=1622671000
23334,Pedicure Stool 12 - Gray,22243,1,https://cdn.shopify.com/s/files/1/2283/9101/products/GTPStoolPedicure12-Gray_1_500x.jpg?v=1619042783
23334,Spa Base & Bowl Thunder / White & Unicorn,23407,1,https://cdn.shopify.com/s/files/1/2283/9101/products/thunder-unicorn-bowl-white-base_500x.jpg?v=1623360007
23334,Spa Massage Chair G490,18944,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DSC00012_500x.jpg?v=1622740644
23331,Leather Cover Set C01 with Matching Color Pillow / Sand Cream,23288,1,https://cdn.shopify.com/s/files/1/2283/9101/products/C01_leather_cover_sandcream_500x.jpg?v=1622670999
23331,Pedicure Stool 12 - Sand Cream,10826,1,https://cdn.shopify.com/s/files/1/2283/9101/products/Stool_12_Sand_efeea45a-b8f7-4509-8916-20bc9f8eda3c_500x.jpg?v=1579281237
23331,Spa Base & Bowl Thunder / White & Unicorn,23407,1,https://cdn.shopify.com/s/files/1/2283/9101/products/thunder-unicorn-bowl-white-base_500x.jpg?v=1623360007
23331,Spa Massage Chair G490,18944,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DSC00012_500x.jpg?v=1622740644
23339,Leather Cover Set C08 / Black,23285,1,
23339,Pedicure Stool 12 - Black,3585,1,https://cdn.shopify.com/s/files/1/2283/9101/products/Stool_12_Black_500x.jpg?v=1579279800
23339,Spa Base & Bowl Thunder / White & Unicorn,23407,1,https://cdn.shopify.com/s/files/1/2283/9101/products/thunder-unicorn-bowl-white-base_500x.jpg?v=1623360007
23339,Spa Massage Chair G490,18944,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DSC00012_500x.jpg?v=1622740644
23341,Leather Cover Set C08 / Burgundy,23287,1,
23341,Pedicure Stool 12 - Burgundy,3584,1,https://cdn.shopify.com/s/files/1/2283/9101/products/Stool_12_Burgundy_500x.jpg?v=1579279822
23341,Spa Base & Bowl Thunder / White & Unicorn,23407,1,https://cdn.shopify.com/s/files/1/2283/9101/products/thunder-unicorn-bowl-white-base_500x.jpg?v=1623360007
23341,Spa Massage Chair G490,18944,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DSC00012_500x.jpg?v=1622740644
23342,Leather Cover Set C08 / Cappuccino,23282,1,https://cdn.shopify.com/s/files/1/2283/9101/products/C08_BROWN_500x.png?v=1616086586
23342,Pedicure Stool 12 - Cappuccino,1920,1,https://cdn.shopify.com/s/files/1/2283/9101/products/Stool_12_Capp_500x.jpg?v=1579281133
23342,Spa Base & Bowl Thunder / White & Unicorn,23407,1,https://cdn.shopify.com/s/files/1/2283/9101/products/thunder-unicorn-bowl-white-base_500x.jpg?v=1623360007
23342,Spa Massage Chair G490,18944,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DSC00012_500x.jpg?v=1622740644
23338,Leather Cover Set C08 / Chocolate,23284,1,https://cdn.shopify.com/s/files/1/2283/9101/products/C08_CHOCOLATE_500x.png?v=1616086601
23338,Pedicure Stool 12 - Chocolate,10825,1,https://cdn.shopify.com/s/files/1/2283/9101/products/Stool_12_Chocolate_c3f9d569-012a-4538-8949-eec22ebef874_500x.jpg?v=1579281170
23338,Spa Base & Bowl Thunder / White & Unicorn,23407,1,https://cdn.shopify.com/s/files/1/2283/9101/products/thunder-unicorn-bowl-white-base_500x.jpg?v=1623360007
23338,Spa Massage Chair G490,18944,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DSC00012_500x.jpg?v=1622740644
23344,Leather Cover Set C08 / Espresso,23283,1,https://cdn.shopify.com/s/files/1/2283/9101/products/C08_ESPRESSO_500x.png?v=1616086612
23344,Pedicure Stool 12 - Espresso,23377,1,https://cdn.shopify.com/s/files/1/2283/9101/products/Stool_12_Expresso_4ce2a129-4197-43ef-a73c-91ec25122e54_500x.jpg?v=1579281205
23344,Spa Base & Bowl Thunder / White & Unicorn,23407,1,https://cdn.shopify.com/s/files/1/2283/9101/products/thunder-unicorn-bowl-white-base_500x.jpg?v=1623360007
23344,Spa Massage Chair G490,18944,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DSC00012_500x.jpg?v=1622740644
23343,Leather Cover Set C08 / Gray,23281,1,https://cdn.shopify.com/s/files/1/2283/9101/products/C08_GREY_500x.png?v=1616086628
23343,Pedicure Stool 12 - Gray,22243,1,https://cdn.shopify.com/s/files/1/2283/9101/products/GTPStoolPedicure12-Gray_1_500x.jpg?v=1619042783
23343,Spa Base & Bowl Thunder / White & Unicorn,23407,1,https://cdn.shopify.com/s/files/1/2283/9101/products/thunder-unicorn-bowl-white-base_500x.jpg?v=1623360007
23343,Spa Massage Chair G490,18944,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DSC00012_500x.jpg?v=1622740644
23340,Leather Cover Set C08 / Sand Cream,23286,1,
23340,Pedicure Stool 12 - Sand Cream,10826,1,https://cdn.shopify.com/s/files/1/2283/9101/products/Stool_12_Sand_efeea45a-b8f7-4509-8916-20bc9f8eda3c_500x.jpg?v=1579281237
23340,Spa Base & Bowl Thunder / White & Unicorn,23407,1,https://cdn.shopify.com/s/files/1/2283/9101/products/thunder-unicorn-bowl-white-base_500x.jpg?v=1623360007
23340,Spa Massage Chair G490,18944,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DSC00012_500x.jpg?v=1622740644
23350,Leather Cover Set Diamond / Black,12477,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DIAMOND_BLACK_500x.png?v=1616015913
23350,Pedicure Stool 12 - Black,3585,1,https://cdn.shopify.com/s/files/1/2283/9101/products/Stool_12_Black_500x.jpg?v=1579279800
23350,Spa Base & Bowl Thunder / White & Unicorn,23407,1,https://cdn.shopify.com/s/files/1/2283/9101/products/thunder-unicorn-bowl-white-base_500x.jpg?v=1623360007
23350,Spa Massage Chair G490,18944,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DSC00012_500x.jpg?v=1622740644
23346,Leather Cover Set Diamond / Burgundy,12475,1,https://cdn.shopify.com/s/files/1/2283/9101/products/DIAMOND_BURGUNDY_500x.png?v=1615928669
23346,Pedicure Stool 12 - Burgundy,3584,1,https://cdn.shopify.com/s/files/1/2283/9101/products/Stool_12_Burgundy_500x.jpg?v=1579279822
23346,Spa Base & Bowl Thunder / White & Unicorn,23407,1,https://cdn.shopify.com/s/files/1/2283/9101/products/thunder-unicorn-bowl-white-base_500x.jpg?v=1623360007
